Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,Colour,Modified Item,Style,Room,MPN,EAN,Heating Technology,Power (W),UPC,Mounting & Moving,Model No.,Dimensions,Weight,Energy Efficiency Rating,Air Direction,Tonnage,Country of Origin,Size,Current Rating,Cable Length,Manufacturer Part Number,Type 1,Item Height,Item Dimensions,Colormap,Product Type,Power Supply Indicator Light,Approx Size,Package Contents,Heat technology:,Size:,Power:,Lead length:,Material:,Bundle Description,Customized,Item Weight,Modification Description,Motorized,Personalized,Energy Rating,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Perfermance 1,Location,Bundle Listing,Unit Quantity,Unit Type,Cool Fan Setting,Heater Style,Width,Height,Resistance Properties,Non-Domestic Product,Depth,ISBN,Heating Material,Shell Material,Max. Power,Surface Dry Heating Temperature,Rated Power
Starke Electric Heater Black 2000W 3 Heat Portable Convector Convection Panel,38.0,"1,414 sold","['Conducts heat well within a small space air flow rises up which transmits the heat to flow through the room at a quicker speed. Love the colour black and and accessible logical buttons where the heat dial is simple to use. Portable heater that can be stored away easy when not in use.', ""Cheap for the price but is a great little heater and  has the safety issues that you can touchbut doesn't burn and fall over cut out switch. I stand mine by the wall so it's not knocked over by anyone, when not in use I completely fold in a sheet to keep it clean for the next year. I love it."", 'I recommend this heater for small rooms, in larger open spaces, it doesn’t work so well. It has a nice appearance, but works far better in rooms that can be closed off.', ""Thermostat doesn't work properly, on minimum it only cuts out if full power is used."", 'JUST LOVE IT but when it arrived I expected it to look a little different &amp; I was a little hesitant as to if it was good value for money but it is a fantastic product and it warms a room up in not time at all so for me I 100% agree that this is a great product.', 'Lightweight and puts out a lot of heat. Ideal for a small room.', 'Well designed for the moeney', 'Stylish convection heater, super quiet and thermostat for the right temp!Great for most rooms and perfect for the bedroom.']",New,,HCVH2000-S,,,,,,Steel,,,Electric,Portable Heater,"Analog Thermostat, Anti Frost, Bladeless, Carrying Handle, Safety Cut Off, Ultra Quiet, Automatic Shutoff",,,,,,,"Floor, Wall",,3,,1501-2000 W,,Starke,,"Dial, Rotary Knob, Switch",,,Convection,,240 V,Black,,,,HCVH2000-S,,Convection,2000,0787099867188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comfort Zone CZ442 Portable Electric Ceramic Personal Fan Space Heater, Black",31.99,"1,026 sold","['This little guy has been a work horse.  I am online tonight buying a second one for the bathroom.  It has two settings, low and high, which is convenient.  Any movement forward or backward shuts it off, a super safety feature for my pets.', ""Has a safety feature and was perfect for my kids. Works better than expected and shipping was so quick. They were very kind. I'm satisfied."", 'This heater heats my bathroom, but it is so ""tiny"" and light weght, I\'m afraid it will easily be pulled, pushed or knocked over. I won\'t use it because of this. I didn\'t ask because I can never imagine a heater being so small. I take full responsibility. The service was excellent!!!', ""Pro: Small,\xa0light and cheap. No Con. I’m heating a 12’ x 6' x 6’ trailer and it is just perfect. You can set this at a temp and it holds it close to that."", ""This little heater is one of the best I've ever owned... The ceramic element generates Lots of heat for such a tiny unit, and the well placed little fan Throws the Heat About 6 Feet Out before it dissipates. I had the SAME Company's NON-Ceramic heater and IT DOESN'T EVEN COMPARE.  This little heater is so Awesome, I can't even give it proper Kudos and Accolades here... If you want a cheap space heater THAT KICKS LA BOOTY,.... I HIGHLY recommend this product.........   OH - P.S. - run it on MEDIUM SETTING.... the High setting is So Hot that it cuts off every 10 seconds.... the Medium setting with the Thermostat all the way up will blow and blow and blow Heat. . . . . . . . . . Enjoy ! ! !"", 'Very quick heat for such a small heater!! Great Product, seems very dependable! Easy to store..............Thanks', 'I had had one of the little heater for over 10 years and am ordering a new one to replace it. This is a compact heater that puts out a lot of heat. The high setting can be too much at times, but there is a low setting and has a heat adjustment control that hold temps very well', ""Received 2 heaters, they arrived in very quick time. Well packaged, hopefully I won't need to use them but the way the weather has been getting it looks like it's going to be a cold one. Thanks for the rapid shipping and the great price."", 'Small and compact mighty joe young unit love it thanks', 'My girlfriend keeps it on her side of the bed and says it works perfectly at keeping her warm. While in the meantime I can barely feel it on my side (unless she really turns it up) which I love. I prefer to have a fan blowing on me.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Comfort Zone CZ442,Unknown,,,"15.25in., 15.25 in",,Ceramic,,,Electric,Fan Heater,Handle,,,Black,,,,Desk/Tabletop,,2,,1500W,,comfort zone,,Switch,,,Forced Air/Fan,,,,,,,CZ442,0075877004420,,,0075877004420,"Free Standing, Baseboard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downflow Wall Mounted Fan Heater / Kitchen Bathroom Fan Heater 2kW,24.79,"2,201 sold", ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Downflow Wall Mounted Fan Heater,,,,,,,,,"Bathroom Fan Heate, Electric, Fan",Downflow Wall Mounted Fan Heater,Wall Mounted Fan Heate,,,,,,,"Roof, Wall",,2,,,,Legend,,"Digital, Push Button",,,,,,White,,,Bathroom,BFH012,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaze-Heater MAXI 600-Watt Electric Convection Room Heater,138.27,39 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Room Heater,,,,,,,,,,,,,,Amaze Heater,,,,,Convection,,,,,,Indoor,AH600USMX,,,,854208008159,,AH600USMX,35.6 × 23.3 × 0.5 in,17.6 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500 Watt Adjustable Thermostat Milkhouse Utility Heater CZ798,35.0,355 sold,"['Great little heater with choice of fan only or with heat controlled by a thermostat.  Even has a bottom switch that turns it off if it is bumped over.  But it takes a few hours or days to get the thermostat where you want it.  I would like to see them put in a thermostat with a smaller temperature differential.', ""It's turn off when fall down. it's a good quality and safety in the house. fast delivery, good price.we love it for small room..."", 'Bought this space heater to keep my pipes in my basement from freezing &amp; it’s doing it’s job - it’s compact &amp; easy to place anywhere there is power so as I feel safe knowing it will keep my basement warm - Thanks ', 'I am using it as a heat source for my plant room when the temp drops below freezing and it is perfect. I can adjust the temp as needed.  Good buy.', 'I bought it a few weeks ago and it hasn’t been cold not to use it yet. I used it one night and it worked fine. The quality seems to be very good. I bought it because my buddy has a couple of them his snake room and he’s been very happy with his. ', 'Love this heater. I got it to heat a small back room. In Michigan it gets cold but this small heater has no problem keeping the room nice and warm.The auto-shut off works great, if you try to move it will shut off immediately and restart just as quick.', ""I purchased 💡the heater from my daughter she is 13 she's always complaining about being 🥶 . It works really well . Only problem I have it makes my extension cord too hot  🔥. But I purchased a more better extension cord so everything is fine "", 'An excellent product that was delivered in a timely manner and provides good service!', ""Heater was dented on the corners as if banged up and controls don't work but if want heat it does give heat looks more impressive then it really is advertised as a great deal."", 'It works great in my shop takes the chill out very well! This heater  does a great job!!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZ798,,,10.25 in,"7.4 in, 7.4in.",,"Plastic, Metal, Steel",,,Electric,Portable Heater,"Portable, Thermostat, Carrying Handle, Power Indicator, Indoor/Outdoor, Overheat Protection, Dial Thermostat Control, Automatic Shut-Off, Handle, Adjustable Thermostat",,,Gray,2011,,,Floor,10.5 in,3,1000 - 1249 sq ft,1500 W,5120 BTU,comfort zone,,"Dial, Switch",,,Radiant,,120 V,,,,,CZ798,,,,075877125378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird Brand Premium Grade Paraffin Litre Kerosene Heater Lamp Oil Fuel 1L 4L 8L,4.99,"1,461 sold", ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,liquid,,,"Kerosene, Oil",,,,,,,,,,,,,,,Bird brand,,,,,,,,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Heater 2KW 2000W Portable SILENT Electric FH06 Hot & Cold Air Upright ,14.59,780 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,FH06,,No,9.4INCH,4.7INCH,,plastic,,no,Electric,Portable Heater,Oscillation,,,,,Standard,3 or Less,"Desk/Tabletop, Floor",9.6INCH,2,21 - 30 sq m,1501-2000 W,2000-2999 BTU,ACORN SOLUTION,,Switch,Copper,A++ - E,Forced Air/Fan,no,240 V,White,No,,,none,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPower Electric Heater Fan for Greenhouse Grow Tent Workplace Fast Heating IPX4,62.99,361 sold,"['We are using this little heater to help keep a small greenhouse warm at night. The heater appears to be well-made and is quiet. So far so good.', ""So far working well. Hasn't got super cold yet. Easy to use. Fans stays on all the time. "", 'Very good quality. Plenty of heat for my 8X8 greenhouse. Bower speed just about perfect. Good heat regulation. Highly recommend this heater.', 'a hair dryer would do the same job and the wattage was ok but the fan didn’t put out ', 'works well for my needs in my greenhouse.  keeps the temp even evernight', 'Gives off strong dependable heat', 'Great little heater.Well built.So far so good!', 'Very good product', 'Works as you’d expect. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,GLHTGH100BV1,,,,8.3in.,Universal,,,,Electric,Electric Heater Fan,,,,Black,,,,Floor,12.4in.,,,1500W,,iPower,,Analog/Mechanical,Steel,,Forced Air/Fan,,120 V,,,Electric Heater Fan,,GLHTGH100BV1,,,,810000179237,,,,,,2-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 3 Adjustable Thermostat 1500W Space Heater - Black, , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Vornado Velocity 3,,,,,,,,,Electric,Portable Heater,,,,Black,,,,,,3,,1001-1500 W,,Vornado,,Dial,,,Forced Air/Fan,,,,,,,EH1-0159-06,,,,043765014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500W Portable Electric Space Heater Fan Forced Adjustable Thermostat 3 Settings,17.98,70 sold,"['It had a broken piece on the back side, but it was a quick fix and the product is very good after all. ', 'Quiet and very warm, easy to operate and dependable.', 'This heater does a good job.', 'Awesome quality!', 'Is the best deal.', ""It's noisy.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZ449,,,,6.800,,Ceramic,,,Fan,Fan Heater,Oscillating,,,Silver,,Space Heater,,,8.300,2,,1500W,,comfort zone,,Switch,,,,,,,,,,CZ449,,,,0720189167249,,,,,,,17 x 6 x 4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric Space Heater Super Quiet Oscillating Heater Fan Thermostat,23.99,102 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,Oscillation,,,Black,,,,Floor,,,,,,EconoHome,,,,,Infrared,,110 V,,,,,,,,,850014890933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric 1500W Space Heater PTC Fast Heating Indoor Ceramic Oscillating,39.99,64 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,PE-HE006,United States,No,,,,Ceramic,5 Stars,,Electric,Tower Heater,"Adjustable, Thermostat, Overheat Protection, Indoor, Tip-Over, Fan, ECO, Oscillation, Timer, Auto Shut-off",Infrared,12 hrs,Black,2021,11-20 dB,,Free Standing,,3,Whole Room,1001-1500 W,,PARIS RHÔNE,2 Years,"Digital, Remote Control",ceramic,A+++ - D,Ceramic,,120 V,,,,,PE-HE006,,,,,,,,,,8-Way,,United State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Electric Portable Infrared 4 Element Quartz Space Heater Remote Black 2020,55.99,46 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,Black,,,,,,,,,5118,ZOKOP,,Remote Control,,,,,,,,,,Does not apply,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Insert Heater Embedded Fireplace Glass View Log Flame Timer w/ Remote,179.99,64 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Insert Heater,,,,,,"Metal, Tempered Glass, Resin, ABS",,,Electric,Insert Electric Heater,Timer,,,Black,,,,,,,,,,Onebigoutlet,,,,,,,120 V,,,,,050-HA-50100,,,,Does not apply,,,,,,,,,1400W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
